1008,1,1008,1008,1008.0
976,1,976,976,976.0
968,1,968,968,968.0
920,1,920,920,920.0
848,1,848,848,848.0
847,1,847,847,847.0
845,1,845,845,845.0
889,2,845,44,444.5
885,2,845,40,442.5
761,2,717,44,380.5
729,2,717,12,364.5
665,2,653,12,332.5
649,3,605,12,216.33333333333334
633,3,605,12,211.0
609,3,581,12,203.0
602,4,581,1,150.5
594,3,581,1,198.0
530,3,517,1,176.66666666666666
274,3,261,1,91.33333333333333
242,3,229,1,80.66666666666667
258,4,229,1,64.5
194,4,165,1,48.5
132,4,101,3,33.0
100,4,69,3,25.0
52,4,21,3,13.0
116,5,69,3,23.2
100,5,53,3,20.0
84,5,37,3,16.8
68,5,21,3,13.6
47,4,16,3,11.75
46,4,16,3,11.5
46,4,16,3,11.5
227,8,64,3,28.375
984,1,984,984,984.0
952,1,952,952,952.0
944,1,944,944,944.0
896,1,896,896,896.0
824,1,824,824,824.0
823,1,823,823,823.0
821,1,821,821,821.0
865,2,821,44,432.5
861,2,821,40,430.5
737,2,693,44,368.5
705,2,693,12,352.5
641,2,629,12,320.5
625,3,581,12,208.33333333333334
609,3,581,12,203.0
585,3,557,12,195.0
578,4,557,1,144.5
570,3,557,1,190.0
506,3,493,1,168.66666666666666
250,3,237,1,83.33333333333333
218,3,205,1,72.66666666666667
234,4,205,1,58.5
170,4,141,1,42.5
108,4,77,3,27.0
76,4,45,3,19.0
92,5,45,3,18.4
76,5,29,3,15.2
60,5,16,3,12.0
59,5,16,3,11.8
59,5,16,3,11.8
