984,1,984,984,984.0
952,1,952,952,952.0
944,1,944,944,944.0
896,1,896,896,896.0
824,1,824,824,824.0
823,1,823,823,823.0
821,1,821,821,821.0
865,2,821,44,432.5
861,2,821,40,430.5
737,2,693,44,368.5
705,2,693,12,352.5
641,2,629,12,320.5
625,3,581,12,208.33333333333334
609,3,581,12,203.0
585,3,557,12,195.0
578,4,557,1,144.5
570,3,557,1,190.0
506,3,493,1,168.66666666666666
250,3,237,1,83.33333333333333
218,3,205,1,72.66666666666667
234,4,205,1,58.5
170,4,141,1,42.5
108,4,77,3,27.0
76,4,45,3,19.0
92,5,45,3,18.4
76,5,29,3,15.2
60,5,16,3,12.0
59,5,16,3,11.8
59,5,16,3,11.8
203,8,64,3,25.375
